"63","Abasha","აბაშა"
"38","Adigeni","ადიგენი"
"0","Akhalgori","ახალგორი"
"40","Akhalkalaki","ახალქალაქი"
"37","Akhaltsikhe","ახალციხე"
"18","Akhmeta","ახმეტა"
"44","Ambrolauri","ამბროლაური"
"39","Aspindza","ასპინძა"
"52","Bagdati","ბაღდათი"
"79","Batumi","ბათუმი"
"23","Bolnisi","ბოლნისი"
"36","Borjomi","ბორჯომი"
"56","Chiatura","ჭიათურა"
"69","Chkhorotsku","ჩხოროწყუ"
"62","Chokhatauri","ჩოხატაური"
"7","Chugureti","ჩუღურეთი"
"14","Dedoplistskaro","დედოფლისწყარო"
"8","Didube","დიდუბე"
"24","Dmanisi","დმანისი"
"28","Dusheti","დუშეთი"
"0","Gagra","გაგრა"
"0","Gali","გალი"
"21","Gardabani","გარდაბანი"
"10","Gldani","გლდანი"
"32","Gori","გორი"
"0","Gudauta","გუდაუთა"
"0","Gulripshi","გულრიფში"
"12","Gurjaani","გურჯაანი"
"5","Isani","ისანი"
"0","Java","ჯავა"
"33","Kareli","ქარელი"
"30","Kaspi","კასპი"
"29","Kazbegi","ყაზბეგი"
"80","Keda","ქედა"
"48","Kharagauli","ხარაგაული"
"35","Khashuri","ხაშური"
"83","Khelvachauri","ხელვაჩაური"
"66","Khobi","ხობი"
"55","Khoni","ხონი"
"84","Khulo","ხულო"
"81","Kobuleti","ქობულეთი"
"4","Krtsanisi","კრწანისი"
"59","Kutaisi","ქუთაისი"
"16","Kvareli","ყვარელი"
"15","Lagodekhi","ლაგოდეხი"
"61","Lanchkhuti","ლანჩხუთი"
"46","Lentekhi","ლენტეხი"
"0","Liakhvi","Liakhvi"
"22","Marneuli","მარნეული"
"65","Martvili","მარტვილი"
"47","Mestia","მესტია"
"1","Mtatsminda","მთაწმინდა"
"27","Mtskheta","მცხეთა"
"9","Nadzaladevi","ნაძალადევი"
"41","Ninotsminda","ნინოწმინდა"
"0","Ochamchire","ოჩამჩირე"
"43","Oni","ონი"
"60","Ozurgeti","ოზურგეთი"
"70","Poti","ფოთი"
"20","Rustavi","რუსთავი"
"3","Saburtalo","საბურთალო"
"50","Sachkhere","საჩხერე"
"11","Sagarejo","საგარეჯო"
"6","Samgori","სამგორი"
"54","Samtredia","სამტრედია"
"64","Senaki","სენაკი"
"82","Shuakhevi","შუახევი"
"13","Signagi","სიღნაღი"
"0","Sukhumi","სოხუმი"
"999","Tbilisi","თბილისი"
"17","Telavi","თელავი"
"49","Terjola","თერჯოლა"
"26","Tetritskaro","თეთრიწყარო"
"19","Tianeti","თიანეთი"
"57","Tkibuli","ტყიბული"
"45","Tsageri","ცაგერი"
"68","Tsalenjikha","წალენჯიხა"
"25","Tsalka","წალკა"
"58","Tskaltubo","წყალტუბო"
"2","Vake","ვაკე"
"53","Vani","ვანი"
"51","Zestaponi","ზესტაფონი"
"67","Zugdidi","ზუგდიდი"
"0","Kurta","ქურთა"
"0","Tbilisi Sea","თბილისის წყალსაცავი"
